ааб	AA P <SPACE>
энеэбхилэн	E NJ EE P HJ I L EH NG <SPACE>
энеэдэн	E NJ EE D EH NG <SPACE>
энеэлдэн	E NJ EE L D EH NG <SPACE>
энеэнэ	E NJ EE N EH <SPACE>
энхэ	E N H EH <SPACE>
энэ	E N EH <SPACE>
энэдхэг	E N EH T H EH K <SPACE>
энэдхэгтэ	E N EH T H EH K T EH <SPACE>
энэдхэгэй	E N EH T H EH Gr EE <SPACE>
энэл	E N EH L <SPACE>
энэнь	E N EH NJ <SPACE>
энэшни	E N EH SH NJ I <SPACE>
энээн	E N EE NG <SPACE>
энээндэнь	E N EE N D EH NJ <SPACE>
энээниие	E N EE NJ II J EH <SPACE>
энээхэн	E N EE H EH NG <SPACE>
энээхэндэ	E N EE H EH N D EH <SPACE>
энээхэниие	E N EE H EH NJ II J EH <SPACE>
энэһээ	E N EH HH EE <SPACE>
эрдэм	E R D EH M <SPACE>
эрдэмтэд	E R D EH M T EH T <SPACE>
эрдэмтэдэй	E R D EH M T EH D EE <SPACE>
эрдэмтэн	E R D EH M T EH NG <SPACE>
эрдэмтэниие	E R D EH M T EH NJ II J EH <SPACE>
эрилтын	E RJ I L T Y NG <SPACE>
эрилтэ	E RJ I L T EH <SPACE>
эрмэлзэжэ	E R M EH L Z EH ZH EH <SPACE>
эртэ	E R T EH <SPACE>
эрхилжэ	E R HJ I L ZH EH <SPACE>
эрхилхэдэл	E R HJ I L H EH D EH L <SPACE>
эрхилэгшэд	E R HJ I L EH K SH EH T <SPACE>
эрхилэгшэдһээшье	E R HJ I L EH K SH EH T HH EE SH J EH <SPACE>
эрхые	E R H Y J EH <SPACE>
эрхэ	E R H EH <SPACE>
эрхүү	E R H UUs <SPACE>
эрхүүгэй	E R H UUs Gr EE <SPACE>
эрхүүгэйхид	E R H UUs Gr EE HJ I T <SPACE>
эршэ	E R SH EH <SPACE>
эршэмтэй	E R SH EH M T EE <SPACE>
эршэтэйгээр	E R SH EH T EE Gr EE R <SPACE>
эрье	E RJ J EH <SPACE>
эрьедэ	E RJ J EH D EH <SPACE>
эрьелдэнэ	E RJ J EH L D EH <SPACE>
эрьеэр	E RJ J EE R <SPACE>
эрэ	E R EH <SPACE>
эрэшүүлэй	E R EH SH UUs L EE <SPACE>
эрэһэн	E R EH HH EH NG <SPACE>
эсэбэритэй	E S EH V EH RJ I T EE <SPACE>
эсэгыемни	E S EH Gr Y J EH M NJ I <SPACE>
эсэгынгээ	E S EH Gr Y NG G EE <SPACE>
эсэгынгээл	E S EH Gr Y NG G EE L <SPACE>
эсэгэ	E S EH Gr EH <SPACE>
эсэгэдэнь	E S EH Gr EH D EH NJ <SPACE>
эсэгэдээ	E S EH Gr EH D EE <SPACE>
эсэгэеэ	E S EH Gr EH J EE <SPACE>
эсэгэмни	E S EH Gr EH M NJ I <SPACE>
эсэгэнь	E S EH Gr EH NJ <SPACE>
эсэгэнэрэйнгээ	E S EH Gr EH N EH R EE NG G EE <SPACE>
этигэл	E TJ I Gr EH L <SPACE>
этигэнэгүй	E TJ I Gr EH N EH Gr UIs <SPACE>
этнографическа	E T N EH G R A FJ I CH EH S K EH <SPACE>
эхилбэ	E HJ I L V EH <SPACE>
эхилжэ	E HJ I L ZH EH <SPACE>
эхилхэ	E HJ I L H EH <SPACE>
эхилхэдэнь	E HJ I L H EH D EH NJ <SPACE>
эхилхэдээ	E HJ I L H EH D EE <SPACE>
эхилхэдээл	E HJ I L H EH N D EE L <SPACE>
эхилээ	E HJ I L EE <SPACE>
эхилээб	E HJ I L EE P <SPACE>
эхилээд	E HJ I L EE T <SPACE>
эхилһэн	E HJ I L HH EH NG <SPACE>
эхин	E HJ I NG <SPACE>
эхиндэ	E HJ I N D EH <SPACE>
эхирэдбулагадай	E HJ I R EH D B Uh L EH Gr EH D EE <SPACE>
эхитэй	E HJ I T EE <SPACE>
эхынгээ	E H Y NG G EE <SPACE>
эхэ	E H EH <SPACE>
эхэнэр	E H EH N EH R <SPACE>
эшхэбтэр	E SH H EH P T EH R <SPACE>
эшэнгүй	E SH EH NG G UIs <SPACE>
эшэхэ	E SH EH H EH <SPACE>
ээрсэгээр	EE R S EH Gr EE R <SPACE>
ээрэжэ	EE R EH ZH EH <SPACE>
юм	J Uh M <SPACE>
юмбибди	J Uh M BJ I B DJ I <SPACE>
юрэ	J Uh R EH <SPACE>
юрэдөөл	J Uh R EH D OOs L <SPACE>
юрэнхылэгшэ	J Uh R EH N H Y L EH K SH EH <SPACE>
юрөө	J Uh R OOs <SPACE>
юу	J UUh <SPACE>
юуб	J UUh P <SPACE>
юугээр	J UUh Gr EE R <SPACE>
юугээрээ	J UUh Gr EE R EE <SPACE>
юум	J UUh M <SPACE>
юумыешни	J UUh M Y J EH SH NJ I <SPACE>
юумэ	J UUh M EH <SPACE>
юумэеэ	J UUh M EH J EE <SPACE>
юумэн	J UUh M EH NG <SPACE>
юумэндэ	J UUh M EH N D EH <SPACE>
юумэнэйнь	J UUh M EH N EE NJ <SPACE>
юумэнүүдые	J UUh M EH N UUs D Y J EH <SPACE>
юун	J UUh NG <SPACE>
юундэ	J UUh N D EH <SPACE>
юундэб	J UUh N D EH P <SPACE>
юуншье	J UUh N SH J EH <SPACE>
юунһээшье	J UUh N HH EE SH J EH <SPACE>
юһэдэхи	J Uh HH EH D EH HJ I <SPACE>
юһэн	J Uh HH EH NG <SPACE>
яажа	J AA ZH EH <SPACE>
яарадаггүйб	J AA R EH D EH G G UIs P <SPACE>
яаралгүй	J AA R EH L Gr UIs <SPACE>
яаралгүйхэн	J AA R EH L Gr UIs H EH NG <SPACE>
яахабши	J AA H EH P SH Y <SPACE>
ябаа	J A V AA <SPACE>
ябаарай	J A V AA R EE <SPACE>
ябаба	J A V EH V EH <SPACE>
ябадал	J A V EH D EH L <SPACE>
ябажа	J A V EH ZH EH <SPACE>
ябалган	J A V EH L Gr EH NG <SPACE>
ябалсааб	J A V EH L S AA P <SPACE>
ябана	J A V EH N EH <SPACE>
ябаха	J A V EH H EH <SPACE>
ябахада	J A V EH H EH D EH <SPACE>
ябахадаа	J A V EH H EH D AA <SPACE>
ябахадаал	J A V EH H EH D AA L <SPACE>
ябахадань	J A V EH H EH D EH NJ <SPACE>
ябахаяа	J A V EH H EH J AA <SPACE>
ябахыень	J A V EH H Y J EH NJ <SPACE>
ябахын	J A V EH H Y NG <SPACE>
ябаһаар	J A V EH HH AA R <SPACE>
ябаһан	J A V EH HH EH NG <SPACE>
ябуулаад	J A V UUh L AA T <SPACE>
ябуулагдаа	J A V UUh L EH G D AA <SPACE>
ябуулагшад	J A V UUh L EH G SH EH T <SPACE>
ябуулгаад	J A V UUh L Gr AA T <SPACE>
ябуулжа	J A V UUh L ZH EH <SPACE>
ябуулна	J A V UUh L N EH <SPACE>
ядалдаагүй	J A D EH L D AA Gr UIs <SPACE>
ядалсадаг	J A D EH L S EH D EH K <SPACE>
ядаха	J A D EH H EH <SPACE>
ядахагүйб	J A D EH H EH Gr UIs P <SPACE>
якутск	J A K Uh T S K <SPACE>
ялараа	J A L EH R AA <SPACE>
ялас	J A L EH S <SPACE>
ямар	J A M EH R <SPACE>
ямараар	J A M EH R AA R <SPACE>
ямаршье	J A M EH R SH J EH <SPACE>
январь	J A N V A RJ <SPACE>
янзын	J A N Z Y NG <SPACE>
янхаевтан	J A N H A J EH V T EH NG <SPACE>
япон	J A P O NG <SPACE>
яхадай	J A H EH D EE <SPACE>
яһала	J A HH EH L EH <SPACE>
яһанай	J A HH EH N EE <SPACE>
яһатан	J A HH EH T EH NG <SPACE>
яһатанай	J A HH EH T EH N EE <SPACE>
ёг	J O K <SPACE>
ёохор	J OOh H EH R <SPACE>
ёһо	J O HH EH <SPACE>
ёһоор	J O HH OOh R <SPACE>
ёһоороо	J O HH OOh R OOh <SPACE>
ёһотой	J O HH EH T EE <SPACE>
ёһотойл	J O HH EH T EE L <SPACE>
үбгэ	Us V Gr EH <SPACE>
үбгэд	Us V Gr EH T <SPACE>
үбшые	Us P SH Y J EH <SPACE>
үглөөгүүр	Us G L OOs Gr UUs R <SPACE>
үгтэдэг	Us K T EH D EH K <SPACE>
үгтэнэ	Us K T EH N EH <SPACE>
үгтэһэн	Us K T EH HH EH NG <SPACE>
үгы	Us Gr Y <SPACE>
үгыбши	Us Gr Y P SH Y <SPACE>
үгыдэ	Us Gr Y D EH <SPACE>
үгые	Us Gr Y J EH <SPACE>
үгылнэ	Us Gr Y L N EH <SPACE>
үгыт	Us Gr Y T <SPACE>
үгэ	Us Gr EH <SPACE>
үгэбэ	Us Gr EH V EH <SPACE>
үгэгдэһэн	Us Gr EH G D EH HH EH NG <SPACE>
үгэдэ	Us Gr EH D EH <SPACE>
үгэдэг	Us Gr EH D EH K <SPACE>
үгэнэ	Us Gr EH N EH <SPACE>
үгэнүүд	Us Gr EH N UUs T <SPACE>
үгэшье	Us Gr EH SH J EH <SPACE>
үгэһэн	Us Gr EH HH EH NG <SPACE>
үгөө	Us Gr OOs <SPACE>
үгөөб	Us Gr OOs P <SPACE>
үгөөрөө	Us Gr OOs R OOs <SPACE>
үдын	Us D Y NG <SPACE>
үдэ	Us D EH <SPACE>
үдэр	Us D EH R <SPACE>
үдэрнүүд	Us D EH R N UUs T <SPACE>
үдэрнүүдтэ	Us D EH R N UUs T T EH <SPACE>
үдэрнүүдые	Us D EH R N UUs D Y J EH <SPACE>
үдэшын	Us D EH SH Y NG <SPACE>
үдэшэ	Us D EH SH EH <SPACE>
үдэшэндөө	Us D EH SH EH N D OOs <SPACE>
үе	Us J EH <SPACE>
үедэ	Us J EH D EH <SPACE>
үедэнь	Us J EH D EH NJ <SPACE>
үедөө	Us J EH D OOs <SPACE>
үерлэн	Us J EH R L EH NG <SPACE>
үетэнөө	Us J EH T EH N OOs <SPACE>
үеын	Us J E Y NG <SPACE>
үеһөө	Us J EH HH OOs <SPACE>
үзэгдэдэг	Us Z EH G D EH D EH K <SPACE>
үзэгдэнэ	Us Z EH G D EH N EH <SPACE>
үзэдэггүйб	Us Z EH D EH G G UIs P <SPACE>
үзэдэгынь	Us Z EH D EH Gr Y NJ <SPACE>
үзэе	Us Z EH J EH <SPACE>
үзэжэ	Us Z EH ZH EH <SPACE>
үзэлгэ	Us Z EH L Gr EH <SPACE>
үзэлшэн	Us Z EH L SH EH NG <SPACE>
үзэсхэлэн	Us Z EH S H EH L EH NG <SPACE>
үзэсхэлэнтэ	Us Z EH S H EH L EH N T EH <SPACE>
үзэхэ	Us Z EH H EH <SPACE>
үзэхэгүй	Us Z EH H EH Gr UIs <SPACE>
үзэхэдэ	Us Z EH H EH D EH <SPACE>
үзэһэн	Us Z EH HH EH NG <SPACE>
үзүүлдэг	Us Z UUs L D EH K <SPACE>
үзүүлжэ	Us Z UUs L ZH EH <SPACE>
үзүүлхэ	Us Z UUs L H EH <SPACE>
үзүүлэгдэхэ	Us Z UUs L EH G D EH H EH <SPACE>
үзүүлһэн	Us Z UUs L HH EH NG <SPACE>
үзөөгүй	Us Z OOs Gr UIs <SPACE>
үй	UIs <SPACE>
үйлын	UIs L Y NG <SPACE>
үйлэ	UIs L EH <SPACE>
үйлэдбэрилхэ	UIs L EH D B EH RJ I L H EH <SPACE>
үйлэдбэрилһэн	UIs L EH D B EH RJ I L HH EH NG <SPACE>
үйлэдэхэ	UIs L EH D EH H EH <SPACE>
үлгы	Us L Gr Y <SPACE>
үлгөөтэй	Us L Gr OOs T EE <SPACE>
үлир	Us LJ I R <SPACE>
үлэн	Us L EH NG <SPACE>
үлэнхэй	Us L EH N H EE <SPACE>
үлэшоо	Us L EH SH OOh <SPACE>
үлэшэнэ	Us L EH SH EH N EH <SPACE>
үлэшэһэн	Us L EH SH EH HH EH NG <SPACE>
үлүү	Us L UUs <SPACE>
үлөөд	Us L OOs T <SPACE>
үлөөһэн	Us L OOs HH EH NG <SPACE>
үмсын	Us M S Y NG <SPACE>
үмөөрөөд	Us M OOs R OOs T <SPACE>
үнгэргэгдэһэн	Us NG G EH R Gr EH G D EH HH EH NG <SPACE>
үнгэргэгдөө	Us NG G EH R Gr EH G D OOs <SPACE>
үнгэргэхэ	Us NG G EH R H EH D EH <SPACE>
үнгэргөө	Us NG G EH R Gr OOs <SPACE>
үнгэрдэг	Us NG G EH R D EH K <SPACE>
үнгэрхэдөө	Us NG G EH R H EH D OOs <SPACE>
үнгэрэгшэ	Us NG G EH R EH G SH EH <SPACE>
үнгэрэмсөөр	Us NG G EH R EH M S OOs R <SPACE>
үнгэрһэн	Us NG G EH R EH HH EH NG <SPACE>
үнгэрөө	Us NG G EH R OOs <SPACE>
үнгэрөөб	Us NG G EH R OOs P <SPACE>
үнгэтэ	Us NG G EH T EH <SPACE>
үнгэтэй	Us NG G EH T EE <SPACE>
үндын	Us N D Y NG <SPACE>
үндыһэн	Us N D Y HH EH NG <SPACE>
үндэр	Us N D EH R <SPACE>
үндэһэд	Us N D EH HH EH T <SPACE>
үндэһэн	Us N D EH HH EH NG <SPACE>
үндэһэнһөө	Us N D EH HH EH N HH OOs <SPACE>
үндэһэтэ	Us N D EH HH EH T EH <SPACE>
үнеэ	Us NJ EE <SPACE>
үнжэгэн	Us N ZH EH Gr EH NG <SPACE>
үни	Us NJ I <SPACE>
үншэршэнхэй	Us N SH EH R SH EH N H EE <SPACE>
үнэн	Us N EH NG <SPACE>
үнэндөө	Us N EH N D OOs <SPACE>
үнэр	Us N EH R <SPACE>
үнэтэ	Us N EH T EH <SPACE>
үнэтэй	Us N EH T EE <SPACE>
үнэхөөрөө	Us N EH H OOs R OOs <SPACE>
үнэхөөрөөл	Us N EH H OOs R OOs L <SPACE>
үнөөхи	Us N OOs HJ I <SPACE>
үргэе	Us R Gr EH J EH <SPACE>
үргэлжэ	Us R Gr EH L ZH EH <SPACE>
үргэлжэлүүлэгдээ	Us R Gr EH L ZH E L UUs L EH G D EE <SPACE>
үргэн	Us R Gr EH NG <SPACE>
үргэнэ	Us R Gr EH N EH <SPACE>
үргэнөөр	Us R Gr EH N OOs R <SPACE>
үргөө	Us R Gr OOs <SPACE>
үргөөш	Us R Gr OOs SH <SPACE>
үрдеэгүй	Us R DJ EE Gr UIs <SPACE>
үреэ	Us RJ EE <SPACE>
үри	Us RJ I <SPACE>
үринь	Us RJ I NJ <SPACE>
үрхэ	Us R H EH <SPACE>
үрэжэлтэй	Us R EH ZH EH L T EE <SPACE>
үсхэлдэрэйхи	Us S H EH L D EH R EE HJ I <SPACE>
үсэгэлдэр	Us S EH Gr EH L D EH R <SPACE>
үсэгэлдэртөө	Us S EH Gr EH L D EH R T OOs <SPACE>
үсөөн	Us S OOs NG <SPACE>
үсөөрөө	Us S OOs R OOs <SPACE>
үтэрхэн	Us T EH R H EH NG <SPACE>
үхибүүд	Us HJ I V UUs T <SPACE>
үхибүүднай	Us HJ I V UUs D N EE <SPACE>
үхибүүдтэ	Us HJ I V UUs T T EH <SPACE>
үхибүүдые	Us HJ I V UUs D Y J EH <SPACE>
үхибүүдэй	Us HJ I V UUs D EE <SPACE>
үхибүүдэйнгээ	Us HJ I V UUs D EE NG G EE <SPACE>
үхибүүн	Us HJ I V UUs NG <SPACE>
үхибүүндээ	Us HJ I V UUs N D EE <SPACE>
үхибүүниинь	Us HJ I V UUs NJ II NJ <SPACE>
үхибүүтэй	Us HJ I V UUs T EE <SPACE>
үхэр	Us H EH R <SPACE>
үхэрнүүд	Us H EH R N UUs T <SPACE>
үхэртэй	Us H EH R T EE <SPACE>
үхэхэш	Us H EH H EH SH <SPACE>
үшөө	Us SH OOs <SPACE>
үшөөл	Us SH OOs L <SPACE>
үшөөшье	Us SH OOs SH J EH <SPACE>
үүдэ	UUs D EH <SPACE>
үүдэн	UUs D EH NG <SPACE>
үүдэнэй	UUs D EH N EE <SPACE>
үүдэшэн	UUs D EH SH EH NG <SPACE>
үүдэшэнөөр	UUs D EH SH EH N OOs R <SPACE>
үүдээ	UUs D EE <SPACE>
үүргэ	UUs R Gr EH <SPACE>
үүргэтэй	UUs R Gr EH T EE <SPACE>
үүсхэл	UUs S H EH L <SPACE>
һаа	HH AA <SPACE>
һаалган	HH AA L Gr EH NG <SPACE>
һаам	HH AA M <SPACE>
һаамнай	HH AA M N EE <SPACE>
һаамни	HH AA M NJ I <SPACE>
һаань	HH AA NJ <SPACE>
һаданар	HH A D EH N EH R <SPACE>
һадаһад	HH A D EH HH EH T <SPACE>
һадаһадай	HH A D EH HH EH D EE <SPACE>
һадаһаднай	HH A D EH HH EH D N EE <SPACE>
һажаажа	HH A ZH AA ZH EH <SPACE>
һажаанхай	HH A ZH AA N H EE <SPACE>
һайжаруулхаар	HH EE ZH EH R UUh L H AA R <SPACE>
һайн	HH EE NG <SPACE>
һайнаар	HH EE N AA R <SPACE>
һайнааршье	HH EE N AA R SH J EH <SPACE>
һайндэр	HH EE N D EH R <SPACE>
һайндэрнүүдые	HH EE N D EH R N UUs D Y J EH <SPACE>
һайндэртэ	HH EE N D EH R T EH <SPACE>
һайнууд	HH EE N UUh T <SPACE>
һайса	HH EE S EH <SPACE>
һайхан	HH EE H EH NG <SPACE>
һайханаар	HH EE H EH N AA R <SPACE>
һайханай	HH EE H EH N EE <SPACE>
һайханиие	HH EE H EH NJ II J EH <SPACE>
һайханиинь	HH EE H EH NJ II NJ <SPACE>
һайхашаагдаа	HH EE H EH SH AA G D AA <SPACE>
һайшаалтай	HH EE SH AA L T EE <SPACE>
һалбаран	HH A L V EH R EH NG <SPACE>
һалбарида	HH A L V EH RJ I D EH <SPACE>
һалхин	HH A L HJ I NG <SPACE>
һалхинай	HH A L HJ I N EE <SPACE>
һамбаашалан	HH A M B AA SH EH L EH NG <SPACE>
һанаа	HH A N AA <SPACE>
һанааб	HH A N AA P <SPACE>
һанаагаа	HH A N AA Gr AA <SPACE>
һанаагаараа	HH A N AA Gr AA R AA <SPACE>
һанаархалга	HH A N AA R H EH L Gr EH <SPACE>
һанаатай	HH A N AA T EE <SPACE>
һанаатайб	HH A N AA T EE P <SPACE>
һанаатайбди	HH A N AA T EE B DJ I <SPACE>
һанааһаань	HH A N AA HH AA NJ <SPACE>
һанагдаа	HH A N EH G D AA <SPACE>
һанагдана	HH A N EH G D EH N EH <SPACE>
һанагшаб	HH A N EH G SH EH P <SPACE>
һанадаг	HH A N D EH K <SPACE>
һанадаггүйб	HH A N EH D EH G Gr UIs P <SPACE>
һанажа	HH A N EH ZH EH <SPACE>
һанал	HH A N EH L <SPACE>
һанамжа	HH A N EH M ZH EH <SPACE>
һанамжануудые	HH A N EH M ZH EH N UUh D Y J EH <SPACE>
һананаб	HH A N EH N EH P <SPACE>
һананагүйб	HH A N EH N EH G UIs P <SPACE>
һананам	HH A N EH N EH M <SPACE>
һанахаар	HH A N EH H AA R <SPACE>
һанахада	HH A N EH H EH D EH <SPACE>
һанашадагби	HH A N EH SH EH D EH G BJ I <SPACE>
һанаһан	HH A N EH HH EH NG <SPACE>
һандарааб	HH A N D EH R AA P <SPACE>
һандараагүй	HH A N D EH R AA Gr UIs <SPACE>
һандарал	HH A N D EH R EH L <SPACE>
һандаралай	HH A N D EH R EH L EE <SPACE>
һандаранхай	HH A N D EH R EH N H EE <SPACE>
һандаргагдажа	HH A N D EH R Gr EH G D EH ZH EH <SPACE>
һандаргажа	HH A N D EH R Gr EH ZH EH <SPACE>
һандархада	HH A N D EH R H EH D EH <SPACE>
һарада	HH A R EH D EH <SPACE>
һарбайнаб	HH A R V EE N EH P <SPACE>
һаруулхан	HH A R UUh L H EH NG <SPACE>
һархяаг	HH A R HJ AA K <SPACE>
һарын	HH A R Y NG <SPACE>
һаяхан	HH A J EH H EH NG <SPACE>
һаяхана	HH A J EH H EH N EH <SPACE>
һмм	HH M <SPACE>
һогтуу	HH O K T UUh <SPACE>
һолонго	HH O L EH NG G EH <SPACE>
һонин	HH O NJ I NG <SPACE>
һонирхобобди	HH O NJ I R H EH V EH B DJ I <SPACE>
һонирходог	HH O NJ I R H EH D EH K <SPACE>
һонирхол	HH O NJ I R H EH L <SPACE>
һонирхолой	H O NJ I R H EH L EE <SPACE>
һонирхолтой	H O NJ I R H EH L T EE <SPACE>
һонирхолтойгоор	HH O NJ I R H EH L T EH R EE Gr OOh R <SPACE>
һонирхооб	HH O NJ I R H OOh P <SPACE>
һонирхоод	HH O NJ I R H OOh T <SPACE>
һонирхохо	HH O NJ I R H EH H EH <SPACE>
һонирхоһон	HH O NJ I R H EH HH EH NG <SPACE>
һонирхуулна	HH O NJ I R H UUh L N EH <SPACE>
һонирхуулха	HH O NJ I R H UUh L H EH <SPACE>
һонор	HH O N EH R <SPACE>
һорилго	HH O RJ I L Gr EH <SPACE>
һорилгодоо	HH O RJ I L Gr EH D OOh <SPACE>
һубиһандал	HH Uh VJ I HH EH N D EH L <SPACE>
һударһаа	HH Uh D EH R HH AA <SPACE>
һунгаа	HH Uh NG G AA <SPACE>
һунгажа	HH Uh NG G EH ZH EH <SPACE>
һураа	HH Uh R AA <SPACE>
һураад	HH Uh R AA T <SPACE>
һурагшад	HH Uh R EH K SH EH T <SPACE>
һурагшадтаа	HH Uh R EH K SH EH T T AA <SPACE>
һурадаг	HH Uh R EH D EH K <SPACE>
һуража	HH Uh R EH ZH EH <SPACE>
һуралсал	HH Uh R EH L S EH L <SPACE>
һуралсалай	HH Uh R EH L S EH L EE <SPACE>
һурана	HH Uh R EH N EH <SPACE>
һурахадаа	HH Uh R EH H EH D AA <SPACE>
һурахадатнай	HH Uh R EH H EH D EH T N EE <SPACE>
һурахаш	HH Uh R EH H EH SH <SPACE>
һурахаяа	HH Uh R EH H EH J AA <SPACE>
һурахын	HH Uh R EH H Y NG <SPACE>
һураһан	HH Uh R EH HH EH NG <SPACE>
һургаа	HH Uh R Gr AA <SPACE>
һургажа	HH Uh R Gr EH ZH EH <SPACE>
һургажархихань	HH Uh R Gr EH ZH EH R HJ I H EH NJ <SPACE>
һургал	HH Uh R Gr EH L <SPACE>
һурган	HH Uh R Gr EH NG <SPACE>
һургаха	HH Uh R Gr EH H EH <SPACE>
һургуули	HH Uh R Gr UUh LJ I <SPACE>
һургуулигүй	HH Uh R Gr UUh LJ I Gr UIs <SPACE>
һургуулида	HH Uh R Gr UUh LJ I D EH <SPACE>
һургуулиин	HH Uh R Gr UUh LJ II NG <SPACE>
һургуулиингаа	HH Uh R Gr UUh LJ II NG G AA <SPACE>
һургуулинууд	HH Uh R Gr UUh LJ I N UUh T <SPACE>
һургуулинуудай	HH Uh R Gr UUh LJ I N UUh D EE <SPACE>
һургуулинуудтай	HH Uh R Gr UUh LJ I N UUh T T EE <SPACE>
һургуулитай	HH Uh R Gr UUh LJ I T EE <SPACE>
һургуулияа	HH Uh R Gr UUh LJ I J AA <SPACE>
һуугаа	HH UUh Gr AA <SPACE>
һуури	HH UUh RJ I <SPACE>
һуурида	HH UUh RJ I D EH <SPACE>
һуурин	HH UUh RJ I NG <SPACE>
һуурингуудай	HH UUh RJ I NG UUh D EE <SPACE>
һууринуудые	HH UUh RJ I N UUh D Y J EH <SPACE>
һууринһаа	HH UUh RJ I N HH AA <SPACE>
һуухадам	HH UUh H EH D EH M <SPACE>
һуха	HH Uh H EH <SPACE>
һэдэлгэнь	HH E D EH L Gr EH NJ <SPACE>
һэжэрээ	HH E ZH EH R EE <SPACE>
һэлгэлдэн	HH E L Gr EH L D EH NG <SPACE>
һэм	HH E M <SPACE>
һэмби	HH E M BJ I <SPACE>
һэмди	HH E M DJ I <SPACE>
һэн	HH EH NG <SPACE>
һэргэлгын	HH E R Gr EH L G Y NG <SPACE>
һэргэлгэ	HH E R Gr EH L Gr EH <SPACE>
һэргээе	HH E R Gr EE J EH <SPACE>
һэргээжэ	HH E R Gr EE ZH EH <SPACE>
һэргээхын	HH E R Gr EE H Y NG <SPACE>
һэргээхэ	HH E R Gr EE H EH <SPACE>
һэргээхэбди	HH E R Gr EE H EH B DJ I <SPACE>
һэрюулээш	HH E RJ UUh L EE SH <SPACE>
һээ	HH EE <SPACE>
һү	HH Us <SPACE>
һүбэлгэн	HH Us V EH L Gr EH NG <SPACE>
һүзэгтэдтэй	HH Us Z EH K T EH T T EE <SPACE>
һүлдэ	HH Us L D EH <SPACE>
һүн	HH Us NG <SPACE>
һүни	HH Us NJ I <SPACE>
һүрөөтэй	HH Us R OOs T EE <SPACE>
һүүлдэ	HH UUs L D EH <SPACE>
һүүлдэнь	HH UUs L D EH NJ <SPACE>
һүүлшын	HH UUs L SH Y NG <SPACE>
һүүлэй	HH UUs L EE <SPACE>
һүүлээр	HH UUs L EE R <SPACE>
һүүлээрнь	HH UUs L EE R NJ <SPACE>
һүүн	HH UUs NG <SPACE>
һүүтэй	HH UUs T EE <SPACE>
һөөргэнь	HH OOs R EH NJ <SPACE>
һөөргөө	HH OOs R Gr OOs <SPACE>
өөрсэ	OOs R S EH <SPACE>
өөрын	OOs R Y NG <SPACE>
өөрынгөө	OOs R Y NG G OOs <SPACE>
өөрынхеэрээл	OOs R Y N HJ EE R EE L <SPACE>
өөрөө	OOs R OOs <SPACE>
өөрөөшье	OOs R OOs SH J EH <SPACE>
өөһэд	OOs HH EH T <SPACE>
өөһэдын	OOs HH EH D Y NG <SPACE>
өөһэдөө	OOs HH EH D OOs <SPACE>
өөһэнөө	OOs HH EH N OOs <SPACE>
шэмээгуй    SH E M EE Gr UIs <SPACE>
унгэроолда  Uh NG G EH R OOh L D A <SPACE>
эжынэрынь   E ZH Y N EH R Y NJ <SPACE>
багтаамжа   B A K T AA M ZH EH <SPACE>
амисгалан   A MJ I S H EH L EH NG <SPACE>
бужагануулһан   B Uh ZH EH Gr EH N UUh L HH EH NG <SPACE>
нэнгээд N E NG G EE T <SPACE>
хормойдо    H O R M EE D EH <SPACE>
адармаатайхан   A D EH R M AA T EE H EH NG <SPACE>
үбгөө   Us V G OOs <SPACE>
яларуулжа   J A L EH R UUh L ZH EH <SPACE>
худалдажа   H Uh D EH L D EH ZH EH <SPACE>
хуйтэндэ    H UIh T EH N D EH <SPACE>
эхэнэршэни  E H EH N EH R SH EH NG <SPACE>
эрьелдэнэ   E RJ J EH L D EH N EH <SPACE>
хадуурхагүйл    H A D UUh R H EH Gr UIs L <SPACE>
орьёлые O RJ J O L Y J EH <SPACE>
мүнхэлбэ    M Us N H E L V EH <SPACE>
уһаш    Uh HH EH SH <SPACE>
мүнхын  M Us NG H Y NG <SPACE>
аршаандаш   A R SH AA N D EH SH <SPACE>
